time(us),speed(um/sec),reference current(mA),current(mA)
1344576,56214,232,260
1347392,44730,314,208
1350272,43722,323,286
1353152,43722,324,338
1355968,44730,319,390
1358848,43722,328,297
1361728,49968,284,390
1364544,51120,275,260
1367424,43722,329,260
1370304,37476,376,286
1373184,43722,334,390
1376000,63900,189,364
1378880,49968,287,260
1381760,43722,332,312
1384576,38340,373,260
1387456,49968,291,312
1390336,49968,291,338
1393152,51120,283,312
1396032,49968,291,338
1398912,56214,246,286
1401728,51120,281,234
1404608,43722,335,260
1407488,49968,291,286
1410304,57510,236,286
1413184,56214,244,286
1416064,49968,287,182
1418944,43722,333,312
1421760,44730,327,286
1424640,56214,245,338
1427520,56214,243,208
1430336,51120,279,260
1433216,49968,287,338
1436096,43722,332,312
1438912,51120,280,286
1441792,49968,288,260
1444672,56214,243,260
1447552,49968,286,338
1450368,38340,371,312
1453248,43722,335,338
1456128,49968,291,312
1458944,44730,329,286
1461824,43722,338,312
1464704,49968,294,286
1467520,44730,332,338
1470400,31230,432,364
1473280,49968,301,416
1476096,57510,246,312
1478976,56214,253,260
1481856,37476,388,260
1484672,51120,292,256
1487552,49968,300,364
1490432,49968,300,390
1493248,51120,292,234
1496128,56214,255,312
1499008,56214,253,260
1501888,43722,342,286
1504704,44730,336,312
1507584,49968,300,416
1510464,49968,300,312
1513280,51120,291,286
1516160,56214,254,338
1519040,56214,252,364
1521856,44730,334,256
1524736,49968,297,312
1527616,56214,252,286
1530432,51120,287,234
1533312,43722,341,312
1536192,49968,297,312
1539072,49968,297,390
1541888,44730,335,286
1544768,43722,344,364
1547584,51120,292,338
1550464,49968,300,286
1553344,43722,345,338
1556224,43722,347,338
1559040,44730,341,286
1561920,43722,350,364
1564800,43722,352,390
1567616,51120,300,312
1570496,43722,353,338
1573376,43722,355,256
1576192,51120,303,338
1579072,49968,311,338
1581952,56214,266,338
1584768,44730,347,312
1587648,49968,311,286
1590528,56214,265,286
1593344,44730,347,234
1596224,49968,310,338
1599104,56214,265,286
1601984,56214,263,260
1604800,51120,299,312
1607680,43722,352,286
1610560,56214,263,390
1613376,57510,252,234
1616256,49968,305,286
1619136,56214,259,338
1622016,49968,303,312
1624832,51120,295,312
1627712,43722,348,286
1630592,56214,259,312
1633408,57510,248,286
1636288,56214,255,312
1639168,43722,345,182
1641984,51120,293,286
1644864,49968,301,260
1647744,49968,301,338
1650624,43722,346,312
1653440,51120,294,364
1656320,37476,393,338
1659200,31230,442,312
1662016,44730,349,442
1664896,56214,266,364
1667776,43722,356,312
1670592,38340,396,364
1673472,43722,360,390
1676352,49968,317,416
1679168,44730,355,312
1682048,49968,318,338
1684928,49968,318,312
1687744,44730,356,364
1690624,49968,320,338
1693504,43722,365,312
1696320,57510,266,338
1699200,56214,274,234
1702080,43722,363,312
1704896,44730,357,390
1707776,49968,321,364
1710656,49968,321,390
1713472,57510,266,312
1716352,56214,273,286
1719232,56214,272,312
1722112,43722,361,286
1724928,51120,309,312
1727808,56214,271,286
1730688,56214,270,312
1733504,51120,305,286
1736384,49968,313,286
1739264,56214,268,338
1742144,49968,311,182
1744960,51120,303,286
1747840,49968,311,234
1750720,49968,311,312
1753536,38340,396,312
1756416,37476,405,390
1759296,43722,363,390
1762112,51120,311,364
1764992,37476,410,338
1767872,43722,368,416
1770688,51120,316,364
1773568,49968,324,312
1776448,49968,324,312
1779264,51120,315,312
1782144,49968,324,312
1785024,49968,324,312
1787840,44730,362,338
1790720,49968,325,390
1793600,56214,280,312
1796416,44730,361,312
1799296,49968,325,338
1802176,49968,325,286
1804992,51120,316,312
1807872,49968,324,312
1810752,49968,324,312
1813568,57510,270,312
1816448,56214,277,286
1819328,49968,321,312
1822208,49968,321,286
1825024,51120,312,390
1827904,43722,366,312
1830784,43722,368,260
1833600,51120,315,364
1836480,43722,369,390
1839360,43722,371,364
1842176,44730,365,390
1845056,43722,374,416
1847936,49968,330,312
1850752,44730,368,312
1853632,49968,331,338
1856512,37476,422,312
1859328,38340,419,442
1862208,49968,338,442
1865088,49968,338,390
1867904,44730,376,312
1870784,43722,385,390
1873664,49968,341,390
1876480,44730,379,312
1879360,49968,342,416
1882240,56214,297,364
1885056,63900,240,312
1887936,43722,382,260
1890816,43722,384,286
1893632,57510,286,364
1896512,62460,248,338
1899392,43722,381,260
1902272,49968,337,312
1905088,57510,282,312
1907968,49968,335,260
1910848,37476,426,286
1913664,51120,330,390
1916544,62460,247,390
1919424,43722,380,286
1922240,38340,421,364
1925120,56214,294,364
1928000,62460,247,286
1930880,49968,334,286
1933696,44730,372,312
1936576,56214,290,364
1939456,56214,289,286
1942272,44730,370,260
1945152,49968,334,338
1948032,49968,334,338
1950848,51120,325,364
1953728,37476,424,338
1956608,43722,382,442
1959424,51120,330,338
1962304,49968,338,338
1965184,49968,338,338
1968000,51120,330,338
1970880,49968,338,416
1973760,56214,293,338
1976640,43722,382,234
1979456,57510,283,286
1982336,56214,291,338
1985216,49968,334,312
1988032,51120,326,338
1990912,56214,289,312
1993792,49968,332,338
1996608,57510,278,312
1999488,56214,285,260
2002368,56214,283,208
2005248,49968,327,312
2008064,57510,272,364
2010944,56214,280,312
2013824,56214,278,234
2016640,51120,313,260
2019520,49968,321,260
2022400,56214,276,364
2025280,49968,320,286
2028096,51120,311,364
2030976,49968,319,364
2033856,49968,319,286
2036672,44730,357,312
2039552,49968,321,286
2042432,56214,275,364
2045248,51120,311,286
2048128,43722,364,390
2051008,43722,366,390
2053824,57510,267,364
2056704,43722,366,312
2059584,43722,367,390
2062400,57510,269,416
2065280,49968,322,286
2068160,43722,367,312
2071040,49968,323,286
2073856,70290,176,286
2076736,56214,273,208
2079616,43722,362,256
2082432,51120,310,390
2085312,62460,227,364
2088192,49968,314,182
2091008,51120,306,260
2093888,49968,314,338
2096768,56214,269,364
2099648,49968,312,286
2102464,44730,350,286
2105344,49968,314,364
2108224,56214,268,260
2111040,51120,304,260
2113920,49968,312,260
2116800,49968,312,286
2119616,57510,257,364
2122496,49968,310,234
2125376,49968,310,286
2128192,57510,255,260
2131072,49968,308,260
2133952,43722,353,260
2136768,44730,348,312
2139648,56214,266,338
2142528,49968,309,260
2145344,44730,347,286
2148224,49968,311,312
2151104,56214,265,364
2153920,44730,347,260
2156800,49968,310,286
2159680,62460,220,312
2162496,57510,252,286
2165376,43722,351,260
2168256,49968,307,286
2171136,56214,261,260
2173952,51120,297,312
2176832,43722,350,260
2179712,49968,307,312
2182528,63900,205,260
2185408,43722,348,234
2188288,43722,350,312
2191104,51120,298,364
2193984,62460,215,286
2196864,43722,348,0
2199552,40176,375,364
2202432,62460,216,364
2205248,57510,249,208
2208128,43722,347,286
2211008,49968,303,364
2213824,57510,248,364
2216704,49968,301,312
2219584,37476,392,286
2222400,57510,250,338
2225280,62460,212,256
2228160,37476,390,234
2231040,43722,348,286
2233856,57510,249,338
2236736,56214,257,312
2239616,43722,346,260
2242432,44730,340,312
2245312,62460,213,286
2248192,49968,300,208
2251008,44730,338,286
2253888,49968,302,364
2256768,62460,211,364
2259648,49968,298,182
2262464,44730,336,260
2265344,62460,209,286
2268224,56214,251,0
2270912,46872,317,260
2273728,51120,287,256
2276608,56214,250,338
2279488,49968,294,338
2282368,43722,339,286
2285184,51120,287,286
2288064,62460,204,286
